CSF Element,CSF Element Description,Priority,"Recommendations, Considerations, Notes"
RS.CO-02,Internal and external stakeholders are notified of incidents,High,"R1: When an incident is analyzed and prioritized, the incident response team should coordinate with the appropriate individuals inside and outside of the organization so that all who need to be involved will play their roles. <br> R2: Follow established procedures concerning incident coordination that include what must be reported to whom and at what times (e.g., initial notification, regular status updates). <br> R3: Perform notifications in compliance with the current incident notification-related laws and regulations that pertain to the organization's sectors, geographic locations, customer locations, and any other characteristics that apply to the organization. Incident notification is an evolving topic, and new laws and regulations are being established frequently. <br> R4: Notify affected third parties of data breaches and other cybersecurity incidents in accordance with regulatory, legal, and contractual requirements. <br> R5: Notify law enforcement agencies and regulatory bodies of incidents based on criteria in the incident response plan and management approval. Designated individuals should contact these parties in a manner consistent with the requirements of the law and the organization's policies and procedures."
RS.CO-03,Information is shared with designated internal and external stakeholders,High,"N1: Voluntary incident information sharing is often mutually beneficial because the same threats and attacks simultaneously affect multiple organizations. An example is sharing information about observed TTPs with a sector-specific Information Sharing and Analysis Center (ISAC). <br> N2: Sharing defensive tactics between organizations can enhance overall situational awareness and increase the resiliency of all. There is a cost to threat actors to develop or purchase exploits and to deploy them. The effective identification and dissemination of detection techniques lowers the attackers' return on investment and increases their costs. <br> N3: Incident handlers might coordinate their efforts with colleagues at partner organizations to share tactical, technical information on mitigating an attack that spans those organizations. The organizations participating in this type of relationship are usually peers without authority over each other. In addition to choosing to share information, they may also pool resources to solve common problems. <br> R1: Securely share information with stakeholders consistent with the organization's response plans and information sharing agreements, including contracts with suppliers. <br> R2: Regularly update senior leadership on the status of major incidents. <br> R3: Notify human resources when malicious insider activity has occurred. <br> R4: Establish and follow media communications procedures for incident response that comply with the organization's policies on media interaction and information disclosure."
RS.MI (Incident Mitigation),Activities are performed to prevent expansion of an event and mitigate its effects,High,"N1: Manually selecting containment and eradication actions may be easier and faster if the organization has criteria and procedures in place. Criteria could take the incident type into account (e.g., a cloud-based services compromise or a user endpoint ransomware infection) and use some of the risk evaluation factors in RS.MA. Another factor to consider is the duration of the containment measure (e.g., an emergency workaround that must be removed within hours, a temporary workaround to be removed within two weeks, or a permanent solution). The eradication measure's duration could be similarly evaluated. <br> R1: In some instances, organizations redirect an attacker to a sandbox so that they can monitor the attacker's activity, usually to gather additional evidence. This delays containment and eradication activities. The incident response team should first discuss the feasibility of this strategy with the legal department before executing it. The intentional delay can be dangerous because an attacker could escalate unauthorized access or compromise other systems."
RS.MI-01,Incidents are contained,High,"N1: Containment refers to preventing the expansion of an incident. Containment can prevent additional damage and avoid overwhelming the organization's resources. Most incidents require some form of containment. <br> C1: Consider configuring cybersecurity technologies (e.g., antivirus software) and the cybersecurity features of other technologies (e.g., operating systems, network infrastructure devices) to automatically perform some containment actions, like quarantining malware, transferring a compromised endpoint to an isolated remediation network, or halting the execution of an infected container. <br> C2: Consider authorizing third parties (e.g., the organization's internet service providers and cloud service providers) to automatically act to contain certain types of incidents (e.g., large-scale DDoS attacks) on behalf of the organization. <br> R1: Allow incident handlers to manually select and perform containment actions instead of or in addition to automated containment measures."
RS.MI-02,Incidents are eradicated,High,"N1: Eradication refers to mitigating an incident's effects. After containment, eradication may be necessary to eliminate persistence mechanisms and entry points, such as deleting malware, disabling breached user accounts, and identifying and mitigating all exploited vulnerabilities. <br> R1: Identify all affected hosts and services within the organization so that all flaws and weaknesses can be remediated. <br> C1: Consider configuring cybersecurity technologies and the cybersecurity features of other technologies (e.g., operating systems, network infrastructure devices) to automatically perform some eradication actions. <br> C2: Consider authorizing third parties (e.g., the organization's internet service providers and cloud service providers) to automatically act to eradicate certain types of incidents on behalf of the organization. <br> R2: Allow incident handlers to manually select and perform eradication actions instead of or in addition to automated eradication measures."
RC (Recover),Assets and operations affected by a cybersecurity incident are restored,High,"N1: During incident recovery, personnel restore systems to normal operations, confirm that the systems are functioning normally, and (if applicable) remediate vulnerabilities to prevent similar incidents. <br> N2: Recovery operations include restoring systems from clean backups, rebuilding systems, replacing compromised files with clean versions, installing patches, changing passwords, and tightening security controls. In intrusions where the threat actor is highly sophisticated and the full scope of their tactics is not revealed, it may be necessary to go as far as replacing the hardware (e.g., bare metal) of all of the compromised systems. <br> N3: For more information on incident recovery, see [SP800-184]."
RC.RP (Incident Recovery Plan Execution),Restoration activities are performed to ensure operational availability of systems and services affected by cybersecurity incidents,High,"N1: Executing the incident recovery plan involves selecting, prioritizing, and performing recovery actions in a secure manner; verifying the integrity of recovered assets; declaring the end of incident recovery; and completing incident documentation. <br> N2: For more information on incident recovery plans and plan execution, see [SP800-184]."
RC.RP-01,The recovery portion of the incident response plan is executed once initiated from the incident response process,High,R1: Begin recovery procedures during or after incident response processes. <br> R2: Inform all individuals with recovery responsibilities about the plans for recovery and the authorizations required to implement each aspect of the plans.
RC.RP-02,"Recovery actions are selected, scoped, prioritized, and performed",High,"R1: Recovery actions should take timeliness, precision, and reliability (e.g., restoring only the affected files versus restoring all files) into account. <br> R2: Select recovery actions based on the criteria defined in the incident response plan and available resources. <br> R3: Change planned recovery actions based on a reassessment of organizational needs and resources."
RC.RP-03,The integrity of backups and other restoration assets is verified before using them for restoration,High,"R1: Check restoration assets for indicators of compromise, file corruption, and other integrity issues before use."
RC.RP-04,Critical mission functions and cybersecurity risk management are considered to establish post-incident operational norms,High,R1: Validate that essential services are restored in the appropriate order. <br> R2: Work with system owners to confirm the successful restoration of systems and the return to normal operations. <br> R3: Monitor the performance of restored systems to verify the adequacy of the restoration.
RC.RP-05,"The integrity of restored assets is verified, systems and services are restored, and normal operating status is confirmed",High,"R1: Check restored assets for indicators of compromise, and remediate the root causes of the incident before production use. <br> R2: Verify the correctness and adequacy of the restoration actions taken before putting a restored system online."
RC.RP-06,"The end of incident recovery is declared based on criteria, and incident-related documentation is completed",High,"R1: Prepare an after-action report that documents the incident itself, the response and recovery actions taken, and lessons learned."
RC.CO (Incident Recovery Communication),Restoration activities are coordinated with internal and external parties,High,N1: Incident recovery communication is a continuation of the communication activities in RS.CO.
RC.CO-03,Recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders,High,"R1: Securely share recovery information, including restoration progress, consistent with response plans and information sharing agreements. <br> R2: Regularly update senior leadership on recovery status and restoration progress for major incidents. <br> R3: Follow the rules and protocols defined in contracts for incident information sharing between the organization and its suppliers. <br> R4: Coordinate crisis communication between the organization and its critical suppliers."
RC.CO-04,Public updates on incident recovery are shared using approved methods and messaging,High,R1: Follow the organization's breach notification procedures for recovering from a data breach incident. <br> R2: Explain the steps being taken to recover from the incident and to prevent a recurrence.
